,lat,lon,MAU
0,28.0,-18.0,
1,28.0,-17.8,
2,28.0,-17.6,25.469109209611823
3,28.0,-17.400000000000002,15.56780110836736
4,28.0,-17.200000000000003,7.103063144660988
5,28.0,-17.000000000000004,19.585586142345704
6,28.0,-16.800000000000004,22.234307630119474
7,28.0,-16.600000000000005,1.8205286648520496
8,28.0,-16.400000000000006,8.220713503410074
9,28.0,-16.200000000000006,14.636865344996556
10,28.0,-16.000000000000007,
11,28.0,-15.800000000000008,24.194891793809216
12,28.0,-15.600000000000009,12.997979977067796
13,28.0,-15.40000000000001,7.292778416233829
14,28.0,-15.20000000000001,15.430635161474909
15,28.0,-15.00000000000001,26.901796195872475
16,28.0,-14.800000000000011,
17,28.0,-14.600000000000012,
18,28.0,-14.400000000000013,
19,28.0,-14.200000000000014,
20,28.0,-14.000000000000014,
21,28.0,-13.800000000000015,
22,28.0,-13.600000000000016,
23,28.0,-13.400000000000016,
24,28.0,-13.200000000000017,
25,28.0,-13.000000000000018,
26,28.0,-12.800000000000018,
27,28.0,-12.60000000000002,
28,28.0,-12.40000000000002,
29,28.0,-12.20000000000002,
30,28.0,-12.000000000000021,
31,28.0,-11.800000000000022,
32,28.0,-11.600000000000023,
33,28.0,-11.400000000000023,
34,28.0,-11.200000000000024,
35,28.0,-11.000000000000025,
36,28.0,-10.800000000000026,
37,28.0,-10.600000000000026,
38,28.0,-10.400000000000027,
39,28.0,-10.200000000000028,
40,28.0,-10.000000000000028,
41,28.0,-9.80000000000003,
42,28.0,-9.60000000000003,
43,28.0,-9.40000000000003,
44,28.0,-9.200000000000031,
45,28.0,-9.000000000000032,
46,28.0,-8.800000000000033,
47,28.0,-8.600000000000033,
48,28.0,-8.400000000000034,
49,28.0,-8.200000000000035,
50,28.0,-8.000000000000036,
51,28.0,-7.800000000000036,
52,28.0,-7.600000000000037,
53,28.0,-7.400000000000038,
54,28.0,-7.200000000000038,
55,28.0,-7.000000000000039,
56,28.0,-6.80000000000004,
57,28.0,-6.6000000000000405,
58,28.0,-6.400000000000041,
59,28.0,-6.200000000000042,
60,28.0,-6.000000000000043,
61,28.0,-5.800000000000043,
62,28.0,-5.600000000000044,
63,28.0,-5.400000000000045,
64,28.0,-5.2000000000000455,
65,28.0,-5.000000000000046,
66,28.0,-4.800000000000047,
67,28.0,-4.600000000000048,
68,28.0,-4.400000000000048,
69,28.0,-4.200000000000049,
70,28.0,-4.00000000000005,
71,28.0,-3.8000000000000504,
72,28.0,-3.600000000000051,
73,28.0,-3.400000000000052,
74,28.0,-3.2000000000000526,
75,28.0,-3.0000000000000533,
76,28.0,-2.800000000000054,
77,28.0,-2.6000000000000547,
78,28.0,-2.4000000000000554,
79,28.0,-2.200000000000056,
80,28.0,-2.000000000000057,
81,28.0,-1.8000000000000576,
82,28.0,-1.6000000000000583,
83,28.0,-1.400000000000059,
84,28.0,-1.2000000000000597,
85,28.0,-1.0000000000000604,
86,28.0,-0.8000000000000611,
87,28.0,-0.6000000000000618,
88,28.0,-0.40000000000006253,
89,28.0,-0.20000000000006324,
90,28.0,-6.394884621840902e-14,
91,28.0,0.19999999999993534,
92,28.0,0.39999999999993463,
93,28.0,0.5999999999999339,
94,28.0,0.7999999999999332,
95,28.0,0.9999999999999325,
96,28.0,1.1999999999999318,
97,28.0,1.399999999999931,
